Date,ACIW,ADBE,AKAM,ALLT,ALTR,APCX,APPN,BAND,BLIN,CETX,CHKP,CSGS,CYBR,DBX,DOX,EEFT,FFIV,FIVN,FTNT,GEN,IIIV,IMXI,INTZ,LSAK,MDB,MSFT,NTCT,NTNX,NXTP,OKTA,OSPN,PANW,PAYS,PRTH,QIWI,QLYS,RDWR,REKR,RPD,RVYL,SANG,SCWX,SNPS,SPLK,SPSC,TCX,USIO,VERI,VRNS,VRNT,VRSN,WIX,ZS,^GSPC
2018-07-09,26.290000915527344,249.77000427246094,76.2300033569336,5.400000095367432,34.77000045776367,0.75,33.220001220703125,37.130001068115234,65.5,588.0,102.0,38.0806999206543,65.73999786376953,31.780000686645508,61.77426528930664,85.4000015258789,177.91000366210938,35.54999923706055,12.954000473022461,11.26601791381836,16.139999389648438,10.010000228881836,1.6100000143051147,9.359999656677246,52.90999984741211,96.32949829101562,30.5,53.13999938964844,48.79999923706055,51.86000061035156,20.649999618530273,69.63333129882812,2.630000114440918,10.600000381469727,12.910927772521973,89.19999694824219,25.969999313354492,1.690000057220459,29.329999923706055,1.1399999856948853,0.8700000047683716,12.130000114440918,88.48999786376953,102.1500015258789,38.505001068115234,60.04999923706055,1.6799999475479126,17.170000076293945,25.399999618530273,24.12124252319336,143.0399932861328,104.80000305175781,39.869998931884766,2784.169921875
2018-07-10,26.200000762939453,248.6300048828125,75.83000183105469,5.510000228881836,34.47999954223633,0.75,31.809999465942383,36.06999969482422,115.0,576.7999877929688,104.38999938964844,37.79172134399414,65.76000213623047,31.280000686645508,61.683349609375,86.27999877929688,178.6199951171875,35.060001373291016,13.081999778747559,11.182451248168945,16.100000381469727,10.022000312805176,1.559999942779541,9.369999885559082,52.790000915527344,96.58486938476562,30.700000762939453,53.650001525878906,49.400001525878906,50.93000030517578,20.399999618530273,70.23332977294922,2.630000114440918,10.600000381469727,12.9346342086792,89.0999984741211,26.170000076293945,1.7000000476837158,29.3700008392334,1.5,0.8700000047683716,12.010000228881836,88.98999786376953,100.19999694824219,37.869998931884766,59.70000076293945,1.690000057220459,17.040000915527344,25.149999618530273,23.993886947631836,143.5,104.0999984741211,38.540000915527344,2793.840087890625
2018-07-11,26.06999969482422,248.1199951171875,76.48999786376953,5.400000095367432,34.09000015258789,0.75,32.209999084472656,35.400001525878906,94.0,621.5999755859375,108.37000274658203,37.7827033996582,66.06999969482422,30.940000534057617,61.6469612121582,86.3499984741211,174.92999267578125,34.810001373291016,13.131999969482422,11.114551544189453,16.940000534057617,10.0,1.559999942779541,9.329999923706055,53.2400016784668,96.45246124267578,30.850000381469727,55.20000076293945,54.52000045776367,51.15999984741211,20.200000762939453,70.93000030517578,2.5199999809265137,10.600000381469727,12.863521575927734,90.5999984741211,26.639999389648438,1.7619999647140503,29.920000076293945,1.5,0.8700000047683716,12.0600004196167,89.19000244140625,102.08000183105469,38.005001068115234,59.20000076293945,1.6799999475479126,17.31999969482422,25.266666412353516,23.815587997436523,144.7100067138672,104.19999694824219,39.119998931884766,2774.02001953125
2018-07-12,26.469999313354492,254.8699951171875,77.66999816894531,5.400000095367432,34.72999954223633,0.75,33.5,35.7599983215332,83.0,632.7999877929688,109.88999938964844,37.827850341796875,67.68000030517578,32.41999816894531,62.52920150756836,85.9000015258789,177.35000610351562,35.220001220703125,13.446000099182129,11.292134284973145,16.760000228881836,10.020000457763672,1.6299999952316284,9.270000457763672,57.880001068115234,98.54267120361328,31.399999618530273,57.31999969482422,62.0,54.65999984741211,20.850000381469727,72.77333068847656,2.5,10.630000114440918,13.021549224853516,94.4000015258789,27.270000457763672,1.7209999561309814,31.3700008392334,1.6799999475479126,0.8700000047683716,12.460000038146973,91.4800033569336,105.94000244140625,38.79499816894531,59.0,1.690000057220459,17.350000381469727,26.549999237060547,24.834436416625977,147.17999267578125,108.6500015258789,40.540000915527344,2798.2900390625
2018-07-13,26.299999237060547,258.5899963378906,77.31999969482422,5.400000095367432,34.630001068115234,0.75,33.130001068115234,36.0,79.0,607.5999755859375,109.30999755859375,37.29507064819336,67.38999938964844,32.16999816894531,62.583744049072266,85.19999694824219,176.02999877929688,35.09000015258789,13.312000274658203,11.318248748779297,16.6299991607666,10.029999732971191,1.6299999952316284,9.390000343322754,56.939998626708984,99.71546173095703,31.049999237060547,56.349998474121094,62.20000076293945,54.150001525878906,20.600000381469727,71.98332977294922,2.4800000190734863,10.65999984741211,12.824014663696289,93.3499984741211,27.579999923706055,1.6699999570846558,31.649999618530273,1.5,0.8700000047683716,12.59000015258789,91.41000366210938,105.8499984741211,38.54999923706055,59.400001525878906,1.690000057220459,17.100000381469727,26.299999237060547,24.707080841064453,147.5800018310547,106.69999694824219,39.7400016784668,2801.31005859375
2018-07-16,26.239999771118164,254.67999267578125,77.68000030517578,5.289999961853027,34.5099983215332,0.75,32.72999954223633,36.02000045776367,75.0,604.7999877929688,108.97000122070312,36.77130889892578,65.83999633789062,32.27000045776367,62.383663177490234,84.7699966430664,175.67999267578125,34.560001373291016,13.246000289916992,11.255572319030762,16.75,10.029999732971191,1.5499999523162842,9.300000190734863,56.689998626708984,99.2236328125,31.0,56.540000915527344,59.599998474121094,54.06999969482422,20.25,71.45333099365234,2.4700000286102295,10.460000038146973,12.863521575927734,92.75,27.25,1.6699999570846558,31.219999313354492,1.9199999570846558,0.8700000047683716,13.649999618530273,91.48999786376953,106.19999694824219,38.61000061035156,59.349998474121094,1.7799999713897705,16.489999771118164,25.950000762939453,24.477840423583984,147.94000244140625,108.05000305175781,41.119998931884766,2798.429931640625
2018-07-17,26.399999618530273,258.30999755859375,78.62999725341797,5.28000020980835,34.619998931884766,0.75,33.58000183105469,35.349998474121094,81.0,599.2000122070312,110.11000061035156,37.042213439941406,68.52999877929688,31.649999618530273,62.72018814086914,85.25,176.75,35.400001525878906,13.387999534606934,11.26601791381836,16.75,10.010000228881836,1.600000023841858,9.430000305175781,57.720001220703125,100.207275390625,31.049999237060547,57.5099983215332,56.400001525878906,55.83000183105469,20.149999618530273,72.1933364868164,2.450000047683716,10.59000015258789,12.642281532287598,94.69999694824219,27.040000915527344,1.809999942779541,32.0099983215332,1.6799999475479126,0.8700000047683716,13.859999656677246,92.11000061035156,107.25,38.560001373291016,59.599998474121094,1.7899999618530273,16.299999237060547,26.200000762939453,24.73255157470703,149.7899932861328,109.0,41.880001068115234,2809.550048828125
2018-07-18,26.420000076293945,259.7799987792969,78.12000274658203,5.269999980926514,35.470001220703125,0.75,33.900001525878906,35.7599983215332,79.5,578.760009765625,110.66999816894531,37.0151252746582,69.56999969482422,31.239999771118164,62.23815155029297,85.94000244140625,179.4499969482422,35.13999938964844,13.362000465393066,11.26079273223877,16.420000076293945,10.039999961853027,1.5800000429153442,9.319999694824219,57.709999084472656,99.4222640991211,31.299999237060547,58.11000061035156,59.79999923706055,56.349998474121094,20.100000381469727,72.07333374023438,2.4000000953674316,10.739999771118164,12.642281532287598,95.94999694824219,27.489999771118164,1.7510000467300415,32.93000030517578,4.199999809265137,0.8700000047683716,14.699999809265137,91.94000244140625,107.4800033569336,37.84000015258789,59.75,1.75,16.6299991607666,26.316667556762695,24.681610107421875,149.02000427246094,108.75,41.68000030517578,2815.6201171875
2018-07-19,26.790000915527344,257.67999267578125,78.23999786376953,5.260000228881836,35.08000183105469,0.75,33.310001373291016,36.20000076293945,80.5,574.0,111.23999786376953,37.150577545166016,68.55000305175781,31.299999237060547,62.01074981689453,86.08999633789062,171.69000244140625,35.060001373291016,13.489999771118164,11.11977481842041,16.260000228881836,10.029999732971191,1.600000023841858,9.270000457763672,57.709999084472656,98.7413101196289,31.200000762939453,57.43000030517578,58.84000015258789,55.97999954223633,20.149999618530273,71.52666473388672,2.440000057220459,10.800000190734863,12.610675811767578,96.3499984741211,27.520000457763672,1.7640000581741333,32.880001068115234,3.4800000190734863,0.8700000047683716,14.710000038146973,91.7699966430664,106.25,38.279998779296875,59.79999923706055,1.75,17.010000228881836,26.516666412353516,24.656139373779297,148.0800018310547,104.6500015258789,40.380001068115234,2804.489990234375
2018-07-20,26.559999465942383,257.5400085449219,78.91000366210938,5.199999809265137,34.77000045776367,0.75,33.11000061035156,36.630001068115234,78.0,565.5999755859375,111.55999755859375,37.17766571044922,69.1500015258789,31.0,61.95618438720703,85.91999816894531,172.3800048828125,35.18000030517578,13.595999717712402,11.072769165039062,16.68000030517578,10.039999961853027,1.600000023841858,9.300000190734863,57.75,100.50991821289062,30.899999618530273,56.47999954223633,61.34000015258789,56.33000183105469,20.600000381469727,71.35333251953125,2.509999990463257,10.989999771118164,12.697590827941895,97.05000305175781,27.75,1.7899999618530273,32.40999984741211,3.119999885559082,0.8700000047683716,14.899999618530273,91.69000244140625,105.51000213623047,38.165000915527344,59.70000076293945,1.7699999809265137,16.709999084472656,26.333332061767578,24.630666732788086,149.08999633789062,104.3499984741211,39.790000915527344,2801.830078125
